Year,Field latest Produc-tion(in M.T.),Revenue by sale of Rubber & other items,Expendi-ture,Profit (+)Loss (-)
2009-10 (actuals),1.3857244729924745,-1.2188874918048855,-1.8752084407681453,(+) 2.16
2010-11 (tentative),0.17113746137874636,1.030724235115931,-0.3632777713624977,(+) 16.18
2011-12 (be),-0.3393411377052843,1.395920944031648,0.7456050670742699,(+)14.15
2012-13,-1.9177174957926895,-0.9684668914055369,-0.33319957502153613,(- )  3.13
2013-14,0.27088615315378684,0.3984122191075752,0.819797951381975,(+) 4.21
2014-15,0.42931054597296875,-0.6377030150447303,1.0062827686959341,(-) 6.64
